Month,S,SB,SD,SF,SH
2008-10,3969,3062,1850,1228,1094
2008-11,4298,3345,2081,1321,1201
2008-12,4339,3358,2088,1338,1208
2009-01,4443,3387,2106,1392,1215
2009-02,4616,3480,2170,1435,1242
2009-03,5690,3716,2275,1546,1308
2009-04,5800,3732,2280,1553,1309
2009-05,6251,3917,2416,1650,1365
2009-06,8205,4768,2964,2029,1708
2009-07,10070,5483,3404,2232,1921
2009-08,11209,6184,3815,2507,2136
2009-09,11520,6513,3853,2786,2330
2009-10,12902,7351,4355,3191,2609
2009-11,13042,7401,4384,3248,3041
2009-12,14153,7875,4847,3378,3270
2010-01,14334,7907,4859,3391,3283
2010-02,16208,8075,6484,3491,3324
2010-03,20207,9024,7613,3597,3786
2010-04,22181,9171,7783,3680,4010
2010-05,23542,9732,8408,3961,4381
2010-06,23568,9750,8414,3974,4383
2010-07,23856,9873,8548,4069,4415
2010-08,24270,9940,8571,4390,8381
2010-09,24915,10575,8640,4632,8454
2010-10,25361,10810,8713,4919,8581
2010-11,27454,12465,9178,5452,8866
2010-12,32340,16916,9841,7562,9963
2011-01,32776,16958,9855,7579,9971
2011-02,36045,18407,10062,8280,10282
2011-03,37687,20125,10424,11219,10696
2011-04,38812,21388,10611,11720,10935
2011-05,39813,22063,10661,11836,10984
2011-06,40178,22501,10682,11996,11029
2011-07,42366,24772,10979,12875,11357
2011-08,42863,25390,11059,13044,11503
2011-09,44149,25833,11136,13186,11556
2011-10,44214,25994,11189,13265,11572
2011-11,44331,26179,11324,13499,11647
2011-12,44568,26511,11541,14751,11982
2012-01,44595,26523,11561,14894,12027
2012-02,44879,26596,11788,15018,12060
2012-03,44977,26616,11822,15064,12061
2012-04,45606,26791,12024,15144,12213
2012-05,45731,26952,12039,15190,12321
2012-06,45759,26969,12039,15197,12472
2012-07,45764,26983,12041,15201,12476
2012-08,45879,27084,12072,15271,12508
2012-09,45958,27118,12076,15287,12519
2012-10,46021,27157,12120,15317,12531
2012-11,46051,27160,12120,15346,12577
2012-12,46081,27166,12121,15346,12586
2013-01,46156,27202,12140,15368,12600
2013-02,46205,27248,12153,15383,12643
2013-03,46231,27262,12158,15390,12663
2013-04,46518,27339,12179,15445,12664
2013-05,46529,27341,12287,15449,12670
2013-06,46632,27368,12296,15500,12726
2013-07,46709,27397,12310,15520,12727
2013-08,47057,27476,12345,15540,12742
2013-09,47365,27613,12431,15585,12763
2013-10,47499,27691,12440,15600,12775
2013-11,47612,27764,12472,15635,12787
2013-12,47713,27838,12481,15662,12789
2014-01,47922,27865,12483,15671,12790
2014-02,48498,28108,12536,15888,12853
2014-03,48724,28328,12754,15950,12874
2014-04,48936,28655,12767,16018,12878
2014-05,48946,28661,12768,16034,12888
2014-06,49301,28753,12806,16120,12914
2014-07,50468,29104,13025,16380,12958
2014-08,50526,29149,13028,16408,12965
2014-09,52125,29565,13137,16555,13196
2014-10,53609,30843,13617,17029,13861
2014-11,55506,31764,13936,17629,14225
2014-12,55583,31848,14005,17672,14303
2015-01,55912,32439,15174,17910,14452
2015-02,56670,33812,17619,18257,15308
2015-03,56884,33875,17631,18277,15314
2015-04,57253,34014,17735,18330,15478
2015-05,57668,34205,17811,18363,15719
2015-06,57867,34391,18052,18394,15796
2015-07,59384,34531,18094,18776,15882
2015-08,59591,34592,18141,18795,15961
2015-09,60453,34650,18199,18817,16030
2015-10,61000,34756,18223,18862,16152
2015-11,61356,34867,18244,18880,16182
2015-12,61508,34890,18251,18889,16182
2016-01,61635,34943,18327,18902,16231
2016-02,61910,35118,18409,18966,16334
2016-03,62253,35203,18512,18994,16393
2016-04,63674,35750,18842,19209,16614
2016-05,65367,35992,18944,19339,16711
2016-06,67262,36078,18975,19386,16805
2016-07,67899,36259,19125,19464,17612
2016-08,68030,36349,19145,19493,17755
2016-09,68367,36509,20188,19547,17796
2016-10,69660,36533,20235,19573,17815
2016-11,70208,36776,20482,19632,17964
2016-12,70368,36828,20714,19643,18010
2017-01,70859,36934,20763,19689,18110
2017-02,71249,37119,20965,19784,18190
2017-03,71518,37143,20977,19801,18448
2017-04,71577,37191,21339,20028,18564
2017-05,71933,37813,21419,20092,19141
2017-06,72894,38490,21651,20292,19280
2017-07,72914,38500,21656,20295,19284
2017-08,73147,38614,21791,20318,19307
2017-09,73159,38625,21813,20325,19313
2017-10,73897,38720,21898,20385,19397
2017-11,74397,38766,21931,20411,19498
2017-12,74722,38791,21954,20425,19599
2018-01,75203,38946,22067,20455,19761
2018-02,75395,39039,22087,20513,19766
2018-03,76217,39175,22135,20637,19912
2018-04,76366,39248,22158,20666,19959
2018-05,77457,39466,22182,20807,20217
2018-06,78060,39777,22338,20921,20334
2018-07,79279,40019,22451,21143,20489
2018-08,80917,40401,22754,21497,20928
2018-09,81649,40484,22812,21548,21035
