Month,DE,DF,DG,PA
2008-10,942,3602,9013,11460
2008-11,1004,3740,9279,11977
2008-12,1006,3763,9377,12457
2009-01,1031,3825,9823,12528
2009-02,1061,4122,10405,12574
2009-03,1143,4268,11214,12951
2009-04,1144,4280,11365,13025
2009-05,1156,4307,11548,13269
2009-06,1229,4517,12094,13912
2009-07,1288,4665,12704,14406
2009-08,1310,4708,12868,14835
2009-09,1350,4809,13096,15165
2009-10,1455,5079,13811,16291
2009-11,1504,5155,14096,16900
2009-12,1543,5261,15348,18362
2010-01,1555,5306,15442,18481
2010-02,1577,5422,15592,18535
2010-03,1615,5424,15672,18576
2010-04,1623,5444,15791,18675
2010-05,1662,5587,16338,19314
2010-06,1670,5673,16483,19898
2010-07,1760,5970,16943,20546
2010-08,1793,6058,17171,20895
2010-09,1829,6113,17437,21225
2010-10,1908,6434,18351,22800
2010-11,1984,6598,19692,23593
2010-12,2125,6932,19865,24262
2011-01,2177,7351,21174,24323
2011-02,2280,7492,22318,24872
2011-03,2281,7536,22592,25080
2011-04,2293,7615,22880,25700
2011-05,2311,7795,23217,26312
2011-06,2320,7866,23319,26333
2011-07,2361,7994,23526,26597
2011-08,2386,8022,23630,26697
2011-09,2438,8029,23697,26866
2011-10,2438,8042,23707,26894
2011-11,2446,8053,23879,26944
2011-12,2475,8146,24067,27183
2012-01,2477,8149,24081,27196
2012-02,2479,8186,24164,27453
2012-03,2480,8198,24197,27509
2012-04,2491,8206,24212,27534
2012-05,2528,8503,24905,28273
2012-06,2540,8563,25148,28473
2012-07,2540,8581,25174,28796
2012-08,2547,8601,25265,29127
2012-09,2558,8612,25304,29268
2012-10,2561,8644,25384,29395
2012-11,2561,8647,25413,29413
2012-12,2561,8649,25436,29428
2013-01,2562,8653,25441,29440
2013-02,2566,8656,25466,29463
2013-03,2566,8656,25472,29481
2013-04,2572,8666,25536,29575
2013-05,2572,8670,25537,29594
2013-06,2573,8670,25551,29615
2013-07,2580,8670,25562,29639
2013-08,2608,8672,25579,29668
2013-09,2610,8682,25627,29708
2013-10,2612,8685,25639,29717
2013-11,2613,8690,25703,29766
2013-12,2614,8692,25718,29806
2014-01,2615,8692,25727,29850
2014-02,2621,8701,25745,31414
2014-03,2662,8709,25778,31490
2014-04,2662,8739,25799,31610
2014-05,2663,8748,25858,31635
2014-06,2692,8817,26186,31810
2014-07,2705,8878,26402,31994
2014-08,2706,8898,26434,32168
2014-09,2958,9407,27710,33288
2014-10,3344,10355,29952,36840
2014-11,3455,10536,30398,37814
2014-12,3457,10553,30430,37903
2015-01,3466,10570,30566,38026
2015-02,3473,10637,30746,38347
2015-03,3482,10648,30854,38706
2015-04,3485,10659,30911,38942
2015-05,3532,10675,31063,39168
2015-06,3534,10681,31245,39242
2015-07,3553,10811,31653,39750
2015-08,3560,10836,31713,39958
2015-09,3568,10843,31757,40226
2015-10,3569,10850,31789,40246
2015-11,3599,10875,31905,40314
2015-12,3604,10880,31979,40396
2016-01,3606,10890,32031,40419
2016-02,3610,10897,32228,40462
2016-03,3610,10910,32311,40533
2016-04,3612,10924,32387,40687
2016-05,3613,10933,32423,40762
2016-06,3615,10934,32446,40841
2016-07,3616,10939,32546,40921
2016-08,3619,10949,32590,40953
2016-09,3620,10950,32603,40961
2016-10,3622,10959,32620,40968
2016-11,3622,10964,32642,40977
2016-12,3623,10964,32648,40986
2017-01,3624,10967,32680,40998
2017-02,3677,11082,33738,41323
2017-03,3678,11084,33744,41353
2017-04,3683,11104,33767,41440
2017-05,3817,12272,34828,42611
2017-06,3977,13209,36178,43729
2017-07,3977,13209,36187,43739
2017-08,3983,13226,36268,43752
2017-09,3986,13250,36329,43790
2017-10,4007,13308,36629,43954
2017-11,4009,13326,36666,43994
2017-12,4009,13330,36676,44009
2018-01,4022,13362,36724,44047
2018-02,4025,13368,36755,44096
2018-03,4117,13390,36852,44197
2018-04,4140,13404,36902,44330
2018-05,4186,13465,37004,44473
2018-06,4237,13487,37035,44570
2018-07,4247,13495,37048,44644
2018-08,4268,13615,37195,44792
2018-09,4268,13621,37262,44809
