Year,English,German,French,Spanish,Chinese,Japanese,Russian,Italian,Portuguese,Arabic
"2008",1247277,228166,202251,88604,124474,118224,111593,56382,12735,27215
"2009",2643176,448016,376498,206785,236471,198683,221382,124282,35393,99536
"2010",3909073,691280,584162,310807,398796,332547,281384,187193,57945,122187
"2011",5032142,896375,708563,394136,459713,398667,334022,225464,77103,141425
"2012",5421788,968078,770741,408486,465475,401012,341925,244305,80861,142617
"2013",5596101,998597,794036,417178,467480,403946,346630,250003,83057,146526
"2014",6779375,1216602,984394,487584,510312,481255,397899,308826,100784,155875
"2015",7348767,1292452,1034306,503185,519042,489900,411203,323759,103874,159582
"2016",7808932,1325070,1065075,824485,523239,497217,417901,331146,193986,162530
"2017",8538064,1416449,1138960,882789,551129,514350,437830,367724,204152,178437
"2018",8865913,1439379,1162597,906431,562813,524478,446638,375655,208277,181747
