Year,"University of Michigan","University of California","Harvard University","University of Illinois","University of Minnesota","University of Virginia","Cornell University","University of Wisconsin","Indiana University","University of Texas","Pennsylvania State University","New York Public Library","Ohio State University, The","Princeton University","Northwestern University","University of Chicago","Columbia University","Universidad Complutense de Madrid","Library of Congress","Keio University","University of Alberta","University of Iowa","TRAIL/GWLA","Purdue University","Getty Research Institute, The","Minnesota Digital Library","Michigan State University","University of North Carolina","Yale University","University of Massachusetts","Duke University","State University System of Florida","Boston College","Texas AM","University of Connecticut","North Carolina State University","Emory University","University of Missouri","Wake Forest University","Tufts University","McGill University","University of Maryland","University of Washington","American University of Beirut","Clark Art Institute, Sterling and Francine","Utah State University Press","University of Pennsylvania","University of Queensland, The ","Knowledge Unlatched","University of Delaware","University of Notre Dame","Millennium Project (University of Michigan)","HathiTrust - Private ","Brooklyn Museum"
2008,2335409,0,0,0,0,0,0,142487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,3662291,1155368,0,0,0,0,0,267353,133482,0,5016,0,0,0,0,0,0,0,0,0,0,0,5718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4237077,2048247,0,14428,76371,0,215610,413987,179376,0,34400,258019,0,208506,0,2444,59101,78256,0,0,0,0,16978,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4489045,3287656,53440,14503,90239,47396,383960,527334,186937,0,42917,259453,0,249679,5649,10608,65963,108739,89411,0,0,0,20250,887,0,42435,0,8087,23814,0,4522,0,0,0,0,3196,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
2012,4590429,3383255,235985,104887,104213,50799,415435,550395,195098,0,44732,259574,0,251652,12722,26720,66177,112065,89722,0,0,0,23349,44629,0,42435,0,8088,23818,0,4523,2008,1842,0,0,3196,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,22,5,0
2013,4645734,3449276,237435,112976,117208,50821,438070,555924,195605,0,68234,288370,0,251710,37502,38836,66823,112178,89724,0,0,0,26158,44697,0,42435,0,17025,23818,0,4525,9939,2363,1201,0,3196,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,22,5,4
2014,4687862,3612596,838110,319747,144717,51207,510065,560775,528811,0,387717,294835,61129,252808,56677,51976,75181,117400,108892,90094,76106,0,33285,47488,18979,42435,0,17025,23972,11614,8206,10042,3263,2446,4637,3196,52,0,0,0,893,0,0,0,358,189,0,0,28,48,0,22,7,4
2015,4712702,3720894,838526,437722,442704,51433,584906,561706,530650,0,390174,310762,119187,252890,57157,99207,79169,117678,108892,90126,76114,47071,35973,47490,26458,42435,0,17437,24476,15265,10685,10044,4448,2740,4637,3196,949,12,0,1503,934,279,32,0,358,189,0,0,28,68,0,22,8,4
2016,4731951,3862268,841969,538377,511095,52834,585308,561952,530769,460142,390355,323527,176127,253436,90922,130362,81940,120873,108892,92500,76114,62925,45050,47491,36101,42435,27852,17437,24595,15786,11304,10044,5262,3049,4637,3196,1116,581,1550,1503,1277,286,210,0,358,238,0,81,102,78,39,22,8,4
2017,4793296,4071094,842794,620578,571348,586297,588553,562545,534284,462440,394638,334278,227833,255886,231504,130451,82056,120879,108892,92556,76114,62928,47700,47493,41918,42435,38970,17437,24631,15786,12801,10894,5943,4475,4637,3196,1528,639,1551,1503,1402,894,315,0,358,238,71,111,102,78,39,22,8,4
2018,4812373,4237628,842848,730794,603493,591036,589042,565092,534487,464805,421734,339130,264262,255912,233787,130531,125945,121087,108892,93287,76114,62939,53587,47493,47352,42435,38998,29479,24631,15786,13756,12344,6230,5974,4637,3196,1784,1621,1551,1503,1410,894,441,410,358,238,180,119,102,78,39,22,8,4
